"","saleprice","gdistance","wdistance","cdistance","bathrooms","bedrooms","sqftbuilding","sqftlot","age"
"1",116000,4981.21484375,6608.216796875,1002.21099853516,2,3,1267,7577,9
"2",74500,3416.71704101562,11718.8525390625,904.992004394531,2,3,1128,7500,76
"3",97000,9626,5365.3271484375,295.509002685547,2,3,1235,6800,5
"4",132000,11314.716796875,7071.83984375,93.2509994506836,2.5,4,2077,7185,5
"5",80000,14464.3515625,2144.06103515625,2184.40600585938,2,4,1334,6825,10
"6",122000,3277.21899414062,11188.1171875,1046.5400390625,2,3,1556,7418,6
"7",76500,12727.5966796875,418.329010009766,1686.92797851562,1,3,1128,8050,41
"8",181500,5693.005859375,6242.56591796875,1283.998046875,2,4,1975,7730,7
"9",55000,11376.7724609375,3498.82495117188,1748.25903320312,1,2,881,5000,65
"10",185000,2433.90991210938,12853.330078125,412.605010986328,2,3,1718,8260,14
"11",40000,4863.10205078125,7718.759765625,563.554992675781,1,2,792,3500,77
"12",93000,15606.388671875,4139.615234375,1078.96105957031,2.5,3,1386,5500,10
"13",205000,3913.54296875,10683.021484375,1187.4560546875,3,4,2732,5718,2
"14",128000,15747.8330078125,3421.9169921875,1526.49401855469,2.5,3,1847,6300,31
"15",50000,12282.1181640625,2185.10498046875,1755.05700683594,1,2,945,5000,78
"16",67000,5198.24609375,13062.1845703125,967.531982421875,2,2,1034,5350,73
"17",97000,11912.01953125,1135.4990234375,1491.58898925781,1,2,996,7395,42
"18",156000,4167.755859375,10181.3974609375,701.690002441406,2,3,1720,5600,7
"19",125000,3062.84008789062,11115.248046875,245.813003540039,2,3,1522,8400,37
"20",102000,15169.8505859375,1441.34594726562,2467.30200195312,1,3,1680,7600,44
"21",105000,5406.048828125,7609.64892578125,751.283996582031,1,3,873,5859,29
"22",140000,5174.5927734375,11063.685546875,246.768005371094,2.5,3,1382,4049,11
"23",132000,12300.0732421875,4873.27490234375,526.806030273438,2,4,1870,6300,11
"24",160000,3650.26098632812,10774.421875,1164.82800292969,2,3,1377,6280,19
"25",115000,14626.6689453125,844.804992675781,1847.22705078125,1,3,1129,6300,38
"26",130000,2088.71508789062,10523.7470703125,235.184005737305,2,3,1340,5105,4
"27",56000,13955.3984375,2256.63403320312,1979.62902832031,1,2,852,7000,43
"28",70000,10759.8916015625,5352.7978515625,650.018981933594,2,3,1196,5684,35
"29",197000,13777.2373046875,207.093002319336,1518.64196777344,2,3,2032,6445,9
"30",135000,5772.2060546875,3931.97290039062,258.885986328125,2,4,1477,8470,3
"31",67000,13890.658203125,3595.93310546875,1238.13000488281,2,3,1233,6180,39
"32",3e+05,13635.005859375,2831.330078125,1428.82604980469,3,4,2949,9009,6
"33",175000,2526.501953125,12569.51171875,366.794006347656,2.5,4,1899,7276,3
"34",78500,11244.99609375,1266.625,2327.86791992188,1,3,1073,6054,42
"35",121500,5788.416015625,7706.87109375,249.291000366211,2,4,1358,11760,40
"36",35000,7362.576171875,2691.09790039062,1444.55505371094,1,2,764,6336,45
"37",79000,5187.908203125,6905.3681640625,729.942993164062,1,2,804,6785,48
"38",180000,5292.087890625,13635.4267578125,965.580993652344,2.5,3,1835,155509,18
"39",225000,13674.736328125,138.921005249023,1434.71301269531,3,4,2294,17275,15
"40",1e+05,13146.2529296875,4068.4951171875,692.638977050781,2,3,1519,6000,18
"41",275000,13518.9560546875,2948.61694335938,1477.17797851562,2,3,2224,9352,10
"42",94000,13942.056640625,669.559020996094,2172.541015625,2,4,2125,13692,43
"43",103000,148.692993164062,12159.94140625,101.393997192383,1.5,3,1729,11867,46
"44",131000,4176.70703125,7365.4912109375,276.122009277344,2,3,1258,7000,19
"45",169000,7797.79296875,4555.953125,469.449005126953,3,3,1913,6760,7
"46",108500,2680.10595703125,10545.40625,1.47099995613098,1,3,1229,9960,42
"47",107500,11968.6083984375,1802.30798339844,2421.7060546875,2,3,1712,6270,40
"48",137000,1434.19494628906,13082.4892578125,492.522003173828,2,2,936,6099,7
"49",162091,12362.5576171875,2176.97412109375,2312.64306640625,2.5,4,2244,5800,66
"50",213000,4930.34814453125,10887.228515625,132.319000244141,2.5,4,2428,5300,8
"51",88000,13681.0615234375,6079.583984375,450.415008544922,2,4,1136,4950,13
"52",62000,10966.3173828125,2358.46704101562,2201.52905273438,1,3,1488,7500,25
"53",187500,7647.92822265625,2298.23901367188,422.858001708984,2.5,4,1945,5672,8
"54",72000,10104.5556640625,2362.02392578125,2045.42004394531,1,2,756,5000,33
